Статус КИ,Фаза КИ,Города,Название ЛП,"Название организации, проводящей КИ",Номер и дата РКИ,Дата начала и окончания КИ,Терапевтическая область,Название протокола,протокол_номер
Проводится,IIIb,"Белгород, Брянск, Воронеж, Казань, Киров, Красноярск, Москва, Санкт-Петербург, Смоленск, Ярославль",Релатокс® (Ботулинический токсин типа А в комплексе с гемагглютинином ),"Акционерное общество ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген""",161 23.03.2023,23.03.2023 - 31.12.2026,Неврология,Проспективное простое слепое рандомизированное проводимое в параллельных группах сравнительное исследование по изучению эффективности и безопасности препарата Релатокс® при лечении фокальной спастичности нижней конечности,Протокол РСН-III-00-025/2017
Проводится,Биоэквивалентность,Санкт-Петербург,Лираглутид,Сандоз АГ,166 24.03.2023,24.03.2023 - 31.12.2023,"Терапия (общая), Диабетология","Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Лираглутид, раствор для подкожного введения, 6 мг/мл (Сандоз д.д., Словения) и Виктоза®, раствор для подкожного введения, 6 мг/мл (Ново Нордиск А/С, Дания) у здоровых добровольцев при подкожном введении натощак.",Протокол SAN-0766
Проводится,Биоэквивалентность,Ярославль,Палбоциклиб,Джодас Экспоим Пвт. Лтд.,165 24.03.2023,24.03.2023 - 31.12.2024,Онкология,"Проспективное, открытое, рандомизированное, перекрестное, сравнительное исследование фармакокинетики и биоэквивалентности лекарственных препаратов Палбоциклиб, капсулы, 125 мг (Джодас Экспоим Пвт., Лтд., Индия) и Итулси®, капсулы, 125 мг (Пфайзер Мэнюфэкчуринг Дойчленд ГмБХ, Германия) у здоровых добровольцев с однократным приемом внутрь после приема пищи",Протокол PLCB-JODAS-03/1222
Проводится,Биоэквивалентность,Москва,Джозамицин,"ООО ""ИРВИН 2""",164 24.03.2023,24.03.2023 - 31.12.2023,"Инфекционные болезни, Терапия (общая)","Открытое рандомизированное перекрестное репликативное четырехпериодное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Джозамицин, таблетки, покрытые пленочной оболочкой, 500 мг (ООО ИРВИН 2, Россия) и Вильпрафен®, таблетки, покрытые пленочной оболочкой, 500 мг (Астеллас Фарма Юроп Б.В., Нидерланды) с участием здоровых добровольцев",Протокол JOS-052022
Проводится,Биоэквивалентность,Москва,Апиксабан,"Общество с ограниченной ответственностью ""АМЕДАРТ""",172 27.03.2023,27.03.2023 - 31.12.2024,Терапия (общая),"Одноцентровое, открытое, рандомизированное, двухпериодное, с двумя последовательными приемами, перекрестное исследование относительной биодоступности и биоэквивалентности препарата Апиксабан, таблетки, покрытые пленочной оболочкой, 5 мг (ООО АМЕДАРТ, Россия) в сравнении с препаратом Эликвис®, таблетки, покрытые пленочной оболочкой, 5 мг (Пфайзер Инк, США) при приеме натощак здоровыми добровольцами",Протокол RDPh_22_13
Проводится,Биоэквивалентность,Ярославль,Дапаглифлозин,"Общество с ограниченной ответственностью ""АМЕДАРТ""",171 27.03.2023,27.03.2023 - 31.12.2024,Эндокринология (терапевтическая),"Одноцентровое, открытое, рандомизированное, двухпериодное, с двумя последовательными приемами, перекрестное исследование относительной биодоступности и биоэквивалентности препарата Дапаглифлозин, таблетки, покрытые пленочной оболочкой 10 мг (ООО АМЕДАРТ, Россия) и Форсига®, таблетки, покрытые пленочной оболочкой 10 мг (АстраЗенека ЮК Лимитед, Великобритания) при приеме натощак здоровыми добровольцами",Протокол RDPh_22_32
Проводится,Биоэквивалентность,Ростов,PZ-05/2023,"Общество с ограниченной ответственностью ""Фармасинтез-Тюмень""",170 27.03.2023,27.03.2023 - 30.01.2025,"Дерматология, Терапия (общая), Аллергология и иммунология, Эндокринология (терапевтическая), Пульмонология","Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препаратов , таблетки (ООО Фармасинтез-Тюмень, Россия), и препарата сравнения у здоровых субъектов после однократного приема каждого из препаратов натощак",Протокол PZ-05/2023
Проводится,Биоэквивалентность,Санкт-Петербург,Мебеверин,"ООО ""Гротекс""",169 27.03.2023,27.03.2023 - 01.03.2024,"Терапия (общая), Гастроэнтерология","Проспективное, открытое, рандомизированное, двухпериодное, с двумя последовательностями, перекрестное исследование по изучению сравнительной фармакокинетики и биоэквивалентности препаратов Мебеверин (МНН: мебеверин), капсулы с пролонгированным высвобождением, 200 мг (ООО Гротекс, Россия) и Дюспаталин® (МНН: мебеверин), капсулы с пролонгированным высвобождением, 200 мг (Эбботт Хелскеа Продактс Б.В., Нидерланды) у здоровых добровольцев после многократного приема внутрь натощак, проводимое с последовательным адаптивным дизайном.",Протокол SS_521_Pm
Проводится,Биоэквивалентность,Иваново,Вилдаглиптин,"ООО ""АМЕДАРТ""",168 27.03.2023,27.03.2023 - 31.12.2024,Эндокринология (терапевтическая),"Одноцентровое, открытое, рандомизированное, двухпериодное, с двумя последовательными приемами, перекрестное исследование относительной биодоступности и биоэквивалентности препарата Вилдаглиптин, таблетки, 50 мг (ООО АМЕДАРТ, Россия) и препарата сравнения Галвус®, таблетки, 50 мг (Новартис Фарма АГ, Швейцария) при приеме натощак здоровыми добровольцами",Протокол RDPh_22_14
Проводится,Биоэквивалентность,Санкт-Петербург,"Периндоприл солофарм (Периндоприл, SS_513)","ООО ""Гротекс""",167 27.03.2023,27.03.2023 - 15.02.2024,"Терапия (общая), Кардиология","Рандомизированное открытое перекрестное исследование в двух периодах и двух последовательностях для оценки сравнительной фармакокинетики и биодоступности препарата Периндоприл солофарм, таблетки, покрытые пленочной оболочкой, 10 мг (ООО Гротекс, Россия) и препарата Престариум® А, таблетки, покрытые пленочной оболочкой, 10 мг (Лаборатория Сервье, Франция) после однократного приема натощак у здоровых добровольцев.",Протокол SS_513
Проводится,Биоэквивалентность,Санкт-Петербург,Фабомотизол,"ООО ""Гротекс""",173 28.03.2023,28.03.2023 - 15.01.2024,"Терапия (общая), Неврология","Проспективное открытое рандомизированное перекрестное двухпериодное исследование по изучению сравнительной фармакокинетики и биоэквивалентности препаратов Фабомотизол (МНН: фабомотизол), таблетки, 10 мг (ООО Гротекс, Россия) и Афобазол® (МНН: фабомотизол), таблетки, 10 мг (АО Отисифарм, Россия) у здоровых добровольцев после однократного приема внутрь после еды",Протокол SS_583
Проводится,Биоэквивалентность,—,LCBC02901,"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",175 29.03.2023,29.03.2023 - 31.12.2023,Онкология,"Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препарата  (ООО ПРОМОМЕД РУС, Россия) у здоровых добровольцев мужского пола после однократного приема после еды",Протокол LCBC02901
Проводится,III,"Иваново, Киров, Москва, Пермь, Санкт-Петербург, Саранск, Смоленск, Ярославль",JTBC00301,"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",174 29.03.2023,29.03.2023 - 31.12.2023,"Инфекционные болезни, Терапия (общая), Пульмонология","Открытое рандомизированное многоцентровое исследование по оценке эффективности и безопасности применения лекарственного препарата JTBC00301 (ООО ПРОМОМЕД РУС, Россия) у пациентов с COVID-19",Протокол MLFV-082022
Проводится,III,Санкт-Петербург,Религуд (Фенилэфрина гидрохлорид),"АО ""АВВА РУС""",178 30.03.2023,30.03.2023 - 31.12.2025,"Терапия (общая), Колопроктология","Международное многоцентровое открытое рандомизированное исследование для оценки эффективности и безопасности лекарственного препарата Религуд®, суппозитории ректальные (АО АВВА РУС, Россия), в сравнении с препаратом Релиф®, суппозитории ректальные (АО Байер, Россия), у пациентов с хроническим геморроем",Протокол Religud-ТE-12/2021
Проводится,I-II,"Москва, Ярославль",Инг-Рас (Пептидный ингибитор Ras-ГТФазы),ФГБУ «РНЦРР» Минздрава России,177 30.03.2023,30.03.2023 - 31.12.2024,Онкология,"Проспективное открытое нерандомизированное многоцентровое I-IIa фазы исследование с адаптивным дизайном безопасности, переносимости и первичной эффективности, с установлением максимально переносимой дозы препарата на основе ингибитора RAS-ГТФазы (Инг-Рас)   для лечения пациентов с диагнозом опухоли желудочно-кишечного тракта, включая пациентов с перитонеальным канцероматозом",Протокол 2022-1-Инг-Рас
Проводится,Биоэквивалентность,—,Риамиловир,"Общество с ограниченной ответственностью ""СитиФарм""",176 30.03.2023,30.03.2023 - 31.12.2023,Другое,"№ Открытое рандомизированное перекрестное адаптивное двухпериодное одноцентровое исследование биоэквивалентности препаратов РИАМИЛОВИР, капсулы 250 мг (ОООСитиФарм, Россия) и ТРИАЗАВИРИН®, капсулы, 250 мг (ООО Завод Медсинтез, Россия) у здоровых добровольцев с однократным приемом натощак",Протокол TRIA22
Проводится,Биоэквивалентность,Томск,Валсартан,Общество с ограниченной ответственностью «Брайт Вэй Индастриз» (ООО «Брайт Вэй Индастриз»),182 31.03.2023,31.03.2023 - 31.12.2023,Кардиология,"Одноцентровое, открытое, рандомизированное, двухпериодное, с двумя последовательными приемами, перекрестное исследование относительной биодоступности и биоэквивалентности препарата Валсартан, таблетки, покрытые пленочной оболочкой, 320 мг (ООО Велфарм, Россия) в сравнении с препаратом Диован®, таблетки, покрытые пленочной оболочкой, 2×160 мг (Новартис Фарма АГ, Швейцария) при приеме натощак здоровыми добровольцами",Протокол RDPh_18_17
Проводится,Биоэквивалентность,Пермь,Периндоприл Медисорб (Периндоприл),"Акционерное общество ""Медисорб""",181 31.03.2023,31.03.2023 - 01.11.2023,"Терапия (общая), Кардиология","Открытое, рандомизированное, перекрестное, сравнительное исследование  фармакокинетики и биоэквивалентности лекарственных препаратов Периндоприл Медисорб таблетки 8 мг (АО Медисорб, Россия) и Престариум® А таблетки, покрытые пленочной оболочкой, 10 мг (Лаборатории Сервье, Франция) при однократном приеме натощак здоровыми добровольцами",Протокол 22.61
Проводится,Биоэквивалентность,Ярославль,PZN-03/2022 (Осимертиниб),"Акционерное общество ""Фармасинтез-Норд""",180 31.03.2023,31.03.2023 - 31.12.2023,"Онкология, Терапия (общая)","Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препарата , таблетки, покрытые пленочной оболочкой, 80 мг (АО Фармасинтез-Норд, Россия) у здоровых субъектов мужского пола после однократного приема натощак",Протокол PZN-03/2022
Проводится,III,Санкт-Петербург,Религуд® Адванс (Бензокаин),"АО ""АВВА РУС""",179 31.03.2023,31.03.2023 - 31.12.2025,"Терапия (общая), Колопроктология","Международное многоцентровое открытое рандомизированное исследование для оценки эффективности и безопасности лекарственного препарата Религуд® Адванс, суппозитории ректальные (АО АВВА РУС, Россия), в сравнении с препаратом Релиф® Адванс, суппозитории ректальные (АО Байер, Россия), у больных хроническим геморроем",Протокол Religud-Advance-ТE-12/2021
Проводится,Биоэквивалентность,Москва,Диеногест,АО «АКВИОН»,184 03.04.2023,03.04.2023 - 01.03.2024,Акушерство и гинекология,"Открытое рандомизированное перекрёстное исследование по изучению сравнительной фармакокинетики и биоэквивалентности препаратов Диеногест, таблетки, 2 мг (АО АКВИОН, Россия) и Визанна®, таблетки, 2 мг (Байер АГ, Германия)",Протокол DEG-11-22
Проводится,Биоэквивалентность,Москва,Сорафениб,"АО ""Рафарма""",183 03.04.2023,03.04.2023 - 30.06.2024,Онкология,"Открытое, рандомизированное, перекрестное, полностью репликативное, проводимое в четыре периода, с двумя последовательностями приема препаратов, исследование сравнительной фармакокинетики и биоэквивалентности препаратов Сорафениб (АО Рафарма, Россия), таблетки, покрытые пленочной оболочкой, 200 мг и Нексавар® (Байер АГ, Германия) таблетки, покрытые пленочной оболочкой, 200 мг с участием здоровых добровольцев при приеме натощак",Протокол SRFNB-RAF-04-22
Проводится,III,"Пермь, Санкт-Петербург",Триазавирин (Риамиловир),Общество с ограниченной ответственностью «Завод Медсинтез»,189 04.04.2023,04.04.2023 - 31.01.2024,Инфекционные болезни,"Многоцентровое рандомизированное двойное слепое сравнительное плацебо-контролируемое исследование эффективности и безопасности применения препарата ТРИАЗАВИРИН®, капсулы 100 мг, у детей в возрасте    6-11 лет с острыми респираторными вирусными инфекциями",Протокол ТРИАЗАВИРИН-ОРВИ-Д-6-11
Проводится,Биоэквивалентность,Москва,Парацетамол-АКОС (Парацетамол),"Общество с ограниченной ответственностью ""Биннофарм Групп""",188 04.04.2023,04.04.2023 - 31.12.2024,Терапия (общая),"Открытое, рандомизированное, перекрестное в двух периодах исследование биоэквивалентности препарата Парацетамол-АКОС (Парацетамол), суспензия для приема внутрь [ДЛЯ ДЕТЕЙ], 120 мг/5 мл (ОАО Синтез, Россия) и препарата сравнения Детский Панадол (Парацетамол), суспензия для приема внутрь, 120 мг/5 мл (АО ГлаксоСмитКляйн Хелскер, Россия) у здоровых добровольцев натощак",Протокол 47-PARA-sp-CT-01
Проводится,Биоэквивалентность,Москва,Софосбувир,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВАНСД ФАРМАСЬЮТИКАЛС"" (ООО ""ЭДВАНСД ФАРМА"")",187 04.04.2023,04.04.2023 - 28.02.2027,Инфекционные болезни,"Проспективное, открытое, рандомизированное, репликативное с двумя последовательностями и четырьмя периодами одноцентровое исследование сравнительной фармакокинетики и биоэквивалентности препаратов Софосбувир, таблетки, покрытые пленочной оболочкой, 400 мг (ООО Эдвансд Фарма, Россия)  и Совальди®, таблетки, покрытые пленочной оболочкой, 400 мг (Гилеад Сайенсиз Интернешнл Лимитед, Великобритания) у здоровых добровольцев при приеме после еды",Протокол APH-SOF- 11/2022
Проводится,Биоэквивалентность,Москва,Цефиксим,Сандоз ГмбХ,186 04.04.2023,04.04.2023 - 31.12.2023,Инфекционные болезни,"Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препаратов Цефиксим, таблетки, покрытые пленочной оболочкой, 400 мг (Сандоз д.д., Словения) и Супракс®, капсулы, 400 мг (Астеллас Фарма Юроп Б.В., Нидерланды) у здоровых добровольцев при приеме натощак.",Протокол SAN-0792
Проводится,III,"Казань, Калуга, Киров, Москва, Нижний Новгород, Самара, Санкт-Петербург, Саратов, Томск, Тула, Уфа",GP40141 (Ромиплостим),Общество с ограниченной ответственностью «ГЕРОФАРМ»,185 04.04.2023,04.04.2023 - 31.03.2028,Гематология,"Многоцентровое простое слепое рандомизированное контролируемое исследование эффективности, безопасности и иммуногенности препарата GP40141 (ГЕРОФАРМ, Россия) в сравнении с препаратом Энплейт® (Амджен, Нидерланды) у пациентов с персистирующей или хронической первичной иммунной тромбоцитопенией.",Протокол GP40141-P4-03-02
Проводится,Биоэквивалентность,Москва,JTBC08701,"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",192 05.04.2023,05.04.2023 - 30.08.2023,Иммунология,"Открытое рандомизированное перекрестное, с двумя периодами и двумя последовательностями, исследование сравнительной фармакокинетики и биоэквивалентности препаратов JTBC08701 (АО Биохимик, Россия) у здоровых добровольцев при однократном приеме натощак",Протокол 43-BE-EMT
Проводится,Биоэквивалентность,Ярославль,PZT-02/2023 (Дидрогестерон),"Общество с ограниченной ответственностью ""Фармасинтез-Тюмень""",193 05.04.2023,05.04.2023 - 10.02.2025,"Акушерство и гинекология, Терапия (общая), Эндокринология (терапевтическая)","Открытое рандомизированное перекрестное двухпериодное исследование биоэквивалентности препаратов  (ООО Фармасинтез-Тюмень, Россия), и препарата сравнения у здоровых субъектов женского пола в постменопаузе после однократного приема каждого из препаратов натощак",Протокол PZT-02/2023
Проводится,Биоэквивалентность,Москва,Лерканидипин,Хетеро Лабс Лимитед,191 05.04.2023,05.04.2023 - 01.08.2025,Кардиология,"Открытое, сравнительное, рандомизированное, двухпоследовательное, перекрестное, четырехэтапное, одноцентровое исследование сравнительной биодоступности и биоэквивалентности препаратов Лерканидипин таблетки, покрытые пленочной оболочкой, 20 мг (ООО МАКИЗ-ФАРМА, Россия) и Занидип®-Рекордати таблетки, покрытые пленочной оболочкой, 20 мг (Рекордати Ирландия Лтд, Ирландия) после приема внутрь натощак здоровыми добровольцами",Протокол LRDP-BE-05-2022
Проводится,I,"Владимир, Казань, Калининград, Кемерово, Королев, Москва, Омск, Санкт-Петербург, Саратов",Ритуксимаб,"Общество с ограниченной ответственностью ""Мабскейл""",190 05.04.2023,05.04.2023 - 31.12.2024,Ревматология,"Многоцентровое, двойное слепое, рандомизированное, в параллельных группах сравнительное исследование фармакокинетики, фармакодинамики, иммуногенности и  безопасности препаратов Ритуксимаб (МНН: ритуксимаб), концентрат для приготовления раствора для инфузий, 500 мг/50 мл (ООО Мабскейл, Россия), и Мабтера® (МНН: ритуксимаб), концентрат для приготовления раствора для инфузий, 500 мг/50 мл  (Ф. Хоффман-Ля Рош Лтд., Швейцария), у взрослых пациентов с ревматоидным артритом средней или тяжелой степени тяжести с недостаточным ответом на лечение ингибиторами фактора некроза опухоли (ФНО-α), получающих фоновое лечение метотрексатом.",Протокол RIT-1/01092021
Проводится,Биоэквивалентность,Санкт-Петербург,Триметазидин-АКОС МВ (Триметазидин),"Общество с ограниченной ответственностью ""Биннофарм Групп""",194 06.04.2023,06.04.2023 - 31.12.2024,Терапия (общая),"Открытое, рандомизированное, перекрестное в двух периодах исследование биоэквивалентности препарата Триметазидин-АКОС МВ (Триметазидин), таблетки с модифицированным высвобождением, покрытые оболочкой, 35 мг (АО Биоком, Россия) и препарата сравнения Предуктал® МВ (Триметазидин), таблетки с модифицированным высвобождением, покрытые пленочной оболочкой, 35 мг (Лаборатории Сервье, Франция) у здоровых добровольцев после приема пищи",Протокол 36-TRIME-pt-CT-01
Проводится,Биоэквивалентность,Иваново,JTBC03801 (гразопревир+элбасвир),"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",195 06.04.2023,06.04.2023 - 20.09.2023,Гастроэнтерология,"Открытое рандомизированное репликативное, с четырьмя периодами и двумя последовательностями, исследование сравнительной фармакокинетики и биоэквивалентности препарата JTBC03801 (АО Биохимик, Россия) у здоровых добровольцев при однократном приеме натощак",Протокол 43-BE-GRELB
Проводится,II-III,"Киров, Красноярск, Москва, Пермь, Подольск, Самара, Санкт-Петербург, Смоленск, Ставрополь, Тольятти, Томск, Ярославль",РЕМАКСА® (инозин + метионин + никотинамид + янтарная кислота),ООО «НТФФ «ПОЛИСАН»,196 06.04.2023,06.04.2023 - 15.06.2025,"Инфекционные болезни, Общая врачебная практика (семейная медицина), Терапия (общая), Гастроэнтерология","Многоцентровое сравнительное рандомизированное исследование по подбору оптимального режима дозирования и оценки безопасности и эффективности препарата РЕМАКСА®, таблетки, покрытые кишечнорастворимой оболочкой, производства ООО НТФФ ПОЛИСАН (Россия) в сравнении с препаратом РЕМАКСОЛ®, раствор для инфузий, у пациентов с синдромом внутрипеченочного холестаза при хронических диффузных заболеваниях печени",Протокол RXA-II-III-Chol-2022
Проводится,Биоэквивалентность,Ярославль,Ситаглиптин,"Общество с ограниченной ответственностью ""АМЕДАРТ""",198 07.04.2023,07.04.2023 - 31.12.2024,Эндокринология (терапевтическая),"Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности лекарственных препаратов Ситаглиптин, таблетки, покрытые пленочной оболочкой, 100 мг (ООО АМЕДАРТ, Россия) и Янувия®, таблетки, покрытые пленочной оболочкой, 100 мг (Мерк Шарп и Доум Б.В., Нидерланды) у здоровых добровольцев после приема натощак",Протокол RDPh_22_19
Проводится,Биоэквивалентность,Москва,Элтромбопаг,"Общество с ограниченной ответственностью ""АМЕДАРТ""",199 07.04.2023,07.04.2023 - 31.12.2024,Гематология,"Одноцентровое, открытое, рандомизированное, двухпериодное, с двумя последовательными приемами, перекрестное исследование относительной биодоступности и биоэквивалентности препарата Элтромбопаг, таблетки, покрытые пленочной оболочкой, 50 мг (ООО АМЕДАРТ, Россия) в сравнении с препаратом Револейд®, таблетки, покрытые оболочкой, 50 мг (Новартис Фарма АГ, Швейцария при приеме натощак здоровыми добровольцами",Протокол RDPh_22_10
Проводится,Биоэквивалентность,Ярославль,JTBC04101,"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",99 28.02.2023,28.02.2023 - 09.08.2023,Иммунология,"Открытое рандомизированное перекрестное, с двумя периодами и двумя последовательностями, исследование сравнительной фармакокинетики и биоэквивалентности препарата JTBC04101 у здоровых добровольцев при однократном приеме натощак",Протокол 43-BE-DLLAM
Проводится,I,"Калуга, Москва, Нижний Новгород, Обнинск, Ростов-на-Дону, Рязань, Санкт-Петербург, Саранск, Северодвинск, Смоленск, Чебоксары",LOFB07201 (Пембролизумаб),"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",98 28.02.2023,28.02.2023 - 31.12.2024,Онкология,"Простое слепое рандомизированное многоцентровое исследование фармакокинетики, безопасности, переносимости, иммуногенности и предварительной оценки эффективности лекарственного препарата LOFB07201 (ООО ПРОМОМЕД РУС, Россия) у пациентов со злокачественными новообразованиями различной локализации",Протокол PEM-102022
Проводится,Биоэквивалентность,Москва,Ирбесартан,Микро Лабс Лимитед,97 28.02.2023,28.02.2023 - 01.12.2023,"Терапия (общая), Другое","Одноцентровое, открытое, рандомизированное, перекрестное, двухпериодное, двухпоследовательное исследование сравнительной биодоступности и биоэквивалентности лекарственных препаратов Ирбесартан, таблетки, покрытые пленочной оболочкой, 300 мг (Микро Лабс Лимитед, Индия) и Апровель®, таблетки, покрытые пленочной оболочкой, 300 мг (Санофи Винтроп Индустрия, Франция), у здоровых добровольцев натощак.",Протокол IRB-BE-30-2021
Проводится,Биоэквивалентность,Москва,Апиксабан,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВАНСД ФАРМАСЬЮТИКАЛС"" (ООО ""ЭДВАНСД ФАРМА"")",102 28.02.2023,28.02.2023 - 20.02.2027,"Гематология, Общая врачебная практика (семейная медицина), Терапия (общая), Хирургия, Кардиология, Кардиохирургия","№  Открытое рандомизированное перекрестное, с двумя периодами и двумя последовательностями, исследование сравнительной фармакокинетики и биоэквивалентности препаратов Апиксабан, таблетки, покрытые пленочной оболочкой, 5 мг (ООО Эдвансд Фарма, Россия) и Эликвис®, таблетки, покрытые пленочной оболочкой, 5 мг (Пфайзер Инк., США) у здоровых добровольцев при однократном приеме натощак",Протокол APH- APIX -12/2022
Проводится,Биоэквивалентность,Ярославль,JTBC03701,"Общество с ограниченной ответственностью ""ПРОМОМЕД РУС""",101 28.02.2023,28.02.2023 - 02.08.2023,Гастроэнтерология,Открытое рандомизированное с двухэтапным адаптивным дизайном перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата JTBC03701 у здоровых добровольцев при однократном приеме после еды,Протокол 43-BE-GLPIB
Проводится,Биоэквивалентность,Ярославль,Нимесулид,"Акционерное общество ""Производственная фармацевтическая компания Обновление""(АО ""ПФК Обновление"")",110 01.03.2023,01.03.2023 - 31.12.2024,Общая практика,"Открытое, рандомизированное, перекрестное, исследование сравнительной фармакокинетики и биоэквивалентности препарата Нимесулид (гранулы для приготовления суспензии для приема внутрь, 100 мг, производитель   АО Производственная фармацевтическая компания Обновление, Россия) и Aulin® (гранулы для приготовления суспензии для приема внутрь, 100 мг, производитель Helsinn Birex Pharmaceuticals Ltd., Ирландия), у здоровых добровольцев при однократном приеме натощак.",Протокол NMSL-03/2022
Проводится,Биоэквивалентность,Москва,Дапаглифлозин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВАНСД ФАРМАСЬЮТИКАЛС"" (ООО ""ЭДВАНСД ФАРМА"")",108 01.03.2023,01.03.2023 - 22.02.2027,"Терапия (общая), Эндокринология (терапевтическая), Диабетология","№  Открытое, рандомизированное, перекрестное, одноцентровое с двумя периодами и двумя последовательностями исследование сравнительной фармакокинетики и биоэквивалентности препаратов Дапаглифлозин, таблетки, покрытые пленочной оболочкой, 10 мг (ООО Эдвансд Фарма, Россия) и Форсига®, таблетки, покрытые плёночной оболочкой, 10 мг (АстраЗенека ЮК Лимитед, Великобритания) у здоровых добровольцев при однократном приеме натощак",Протокол APH-DPG-12/2022
Проводится,Биоэквивалентность,Москва,Ситаглиптин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВАНСД ФАРМАСЬЮТИКАЛС"" (ООО ""ЭДВАНСД ФАРМА"")",107 01.03.2023,01.03.2023 - 24.02.2027,"Терапия (общая), Эндокринология (терапевтическая), Диабетология","№  Открытое, рандомизированное, перекрестное, проспективное исследование фармакокинетики и биоэквивалентности препаратов Ситаглиптин, таблетки, покрытые пленочной оболочкой, 100 мг (ООО Эдвансд Фарма, Россия)  и Янувия®, таблетки покрытые пленочной оболочкой, 100 мг (Мерк Шарп и Доум Б.В., Нидерланды) у здоровых добровольцев при однократном приеме натощак",Протокол APH-STG-11/2022
Проводится,Биоэквивалентность,Ярославль,Диафлекс Хондро (Диацереин + Хондроитина сульфат натрия),К.О. Ромфарм Компани С.Р.Л.,106 01.03.2023,01.03.2023 - 02.08.2024,Ревматология,"Открытое рандомизированное перекрестное двухпе-‎риодное исследование сравнительной фармакокине-‎тики, биодоступности и биоэквивалентности препара-‎тов Диафлекс Хондро, капсулы 25 мг + 200 мг ‎(К.О. Ромфарм Компани С.Р.Л., Румыния) и препа-‎ратов Артродарин®, капсулы 50 мг (ТРБ Химедика ‎Интернешнл С.А., Швейцария) у здоровых субъектов ‎после однократного приема каждого из препаратов ‎после приема пищи‎",Протокол DIAFLEX_H-2022
Проводится,Биоэквивалентность,Ярославль,Эсциталопрам,"Акционерное общество ""Производственная фармацевтическая компания Обновление""(АО ""ПФК Обновление"")",105 01.03.2023,01.03.2023 - 31.12.2025,"Психиатрия, Терапия (общая)","Открытое, рандомизированное, перекрестное исследование сравнительной фармакокинетики и биоэквивалентности препарата Эсциталопрам, таблетки, покрытые пленочной оболочкой 10 мг, АО Производственная фармацевтическая компания Обновление, Россия и Ципралекс, таблетки, покрытые пленочной оболочкой 10 мг, Х. Лундбек А/О, Дания, у здоровых добровольцев при приеме натощак",Протокол ESCT-07/2022
